,Attributes,DataTypes,Count,Unique,Duplicates,Frequency,IsNull,IsNotNull,PercentageNull,Entire_Upper,Entire_Lower,WithSpaces,WithoutSpaces,Min Words,Max Words,Min Length,Max Length,Total Character count,Average Character count,Trailing White Space,Entire White Space,Percentage Entire White Space,Percentage Numeric,Percentage AlphaNumeric,SpecialCharacters
0,cust_id,int64,209,209,0,0,0,209,0,0,0,0,209,1,1,4,4,836,4.0,0,0,0.0,100.0,100.0,0
1,first_name,object,209,207,2,0,0,209,0,1,4,0,209,1,1,1,10,1255,6.0047846889952154,0,0,0.0,0.0,100.0,0
2,last_name,object,209,209,0,0,0,209,0,1,6,0,209,1,1,1,13,1396,6.679425837320574,0,0,0.0,0.0,100.0,0
3,zip,int64,209,201,8,0,0,209,0,0,0,0,209,1,1,3,5,1011,4.837320574162679,0,0,0.0,100.0,100.0,0
4,phone1,object,209,209,0,0,0,209,0,0,0,0,209,1,1,10,12,2501,11.966507177033494,0,0,0.0,0.0,0.0,418
5,country,object,209,117,92,0,0,209,0,0,0,37,172,1,3,3,20,1669,7.985645933014354,0,0,0.0,0.0,80.38277511961722,4
6,state,object,209,35,174,0,0,209,0,209,0,0,209,1,1,2,5,421,2.014354066985646,0,0,0.0,0.0,100.0,0
